Scan REF,E01-08-dd.gpr;E01-10-dd.gpr,E01-08-dd.gpr;E01-10-dd.gpr,E01-08-dd.gpr;E01-10-dd.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,mena_wt.gpr;mena_wt22.gpr,mena_wt.gpr;mena_wt22.gpr,mena_wt.gpr;mena_wt22.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,mena_sy.gpr;mena_sy22.gpr,mena_sy.gpr;mena_sy22.gpr,mena_sy.gpr;mena_sy22.gpr,E01-07-WT.gpr;E01-09-WT.gpr,E01-07-WT.gpr;E01-09-WT.gpr,E01-07-WT.gpr;E01-09-WT.gpr
Reporter REF,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2
CAGL0A00605g,-1.166183111,null,null,0.076762182,0.269549726,0.139410477,0.680243004,null,null,null,null,null,0.36186684,null,null,null,null,null
CAGL0A00627g,-0.457787679,0.15075455,0.10514947,0.197652357,0.111610905,0.797797678,-0.100701098,0.27962923,0.686063585,0.609624555,null,null,0.140921422,0.120304584,0.719035575,-0.646001529,0.894507891,1.391939664
CAGL0A00715g,null,null,null,null,null,null,0.697730431,null,null,-0.131097426,null,null,3.126591978,null,null,null,null,null
CAGL0A00737g,-1.324534599,0.292506508,0.344399815,-0.199814973,0.05811109,0.007005475,-0.015640473,1.224663173,0.103462347,-0.448040278,0.120074608,0.068131948,-2.098493966,0.47929709,0.114210718,-0.499355756,1.122765889,0.178227699
CAGL0A00737g,-0.144797324,#DIV/0!,null,-0.383689322,0.70189399,0.115826015,0.232473473,1.246166937,0.096380264,-0.698847796,0.148647175,0.036065425,-1.708028796,0.842427657,0.085263143,-0.733108552,0.490682738,0.254842582
CAGL0A00781g,0.172153715,0.290193119,0.361353481,-0.142476168,0.553916917,0.162680217,0.194759724,0.504134349,0.965791708,0.388205023,0.344178573,0.346323271,-0.453511647,null,null,null,null,null
CAGL0A00803g,0.186757959,0.528051377,0.529402719,0.134569594,0.021660884,0.01577282,0.826890615,0.433590999,0.473756935,0.529353227,1.544329641,2.086333683,-0.121384799,0.056623476,0.980276774,null,null,null
CAGL0A00825g,-0.401496262,0.122182482,0.08390804,0.227456237,0.19750996,0.094201766,0.015579756,0.28076898,0.571609116,0.18586171,0.036264009,0.196436476,0.482698138,0.631151908,0.738115501,null,null,null
CAGL0A00847g,-0.405844663,0.24613296,0.291635001,0.04872604,null,null,0.263215717,null,null,null,null,null,null,null,null,null,null,null
CAGL0A00869g,-0.342844932,0.206838272,0.309200539,null,null,null,0.545877951,0.410691092,1.009828729,null,null,null,1.134454096,null,null,null,null,null
CAGL0A00891g,-0.140240227,0.464647989,0.496305298,-0.17212575,0.121060461,0.105078065,0.563465708,0.311998764,0.819570555,0.362397333,null,null,0.62007694,0.681802684,0.752222462,null,null,null
CAGL0A00913g,-0.382068424,0.206672431,0.193925185,0.088147116,0.137791722,0.056816926,-0.648942559,0.869311525,1.371573235,null,null,null,0.035454507,0.870701717,1.040451124,null,null,null
CAGL0A00935g,0.197901561,0.178577819,0.250725239,0.401962261,null,null,null,null,null,0.062223546,null,null,null,null,null,null,null,null
CAGL0A00957g,-0.25532252,0.970952634,0.672551819,0.079767133,0.374913683,0.296120186,0.788495895,null,null,-0.036207013,null,null,0.219914851,0.480044289,0.468062161,null,null,null
CAGL0A01001g,-0.17840866,0.537357059,0.381764742,0.045791978,0.105752921,0.036782082,1.919657606,null,null,null,null,null,null,null,null,null,null,null
CAGL0A01023g,-0.644872605,0.399548771,0.088272314,-1.511708898,null,null,null,null,null,0.361187525,null,null,null,null,null,-0.573004848,0.863094845,1.426607678
CAGL0A01045g,-0.184390107,0.071924196,0.183671956,-0.504517272,0.219566859,0.235132275,-0.769402813,0.298487532,0.619335751,-0.212487202,0.161662122,0.159077303,-0.914894382,0.479581631,0.542357018,-0.147969913,0.761384711,0.122700486
CAGL0A01067g,-0.423665753,0.10472453,0.139308316,null,null,null,-0.043959369,0.525464379,0.64306038,0.323967141,0.016372667,0.158168212,-0.804846761,0.154941047,0.483849754,-0.608857131,0.171520295,0.092740133
CAGL0A01089g,0.143463905,0.478452893,0.468174931,0.209640015,0.595339339,0.103405872,0.936341363,null,null,-0.550712858,0.409872614,0.309176276,-0.025535092,null,null,0.421736373,2.103145257,3.21187774
CAGL0A01133g,0.116810377,0.099680562,0.168370213,0.599654674,null,null,0.530615315,null,null,-2.326599535,null,null,0.219740201,0.075346885,0.61104174,0.751168554,null,null
CAGL0A01155g,0.103040114,null,null,0.245504902,0.160989275,0.130136033,1.055282436,null,null,null,null,null,null,null,null,null,null,null
CAGL0A01177g,0.630486044,0.338770765,0.381860353,0.286427678,0.022630257,0.043458514,-0.098169356,0.615806828,0.904988274,-0.651357868,0.17603294,0.298755245,1.278291957,0.949064957,0.85019162,-0.740590458,null,null
