Scan REF,Wt_oxidative_stress_1;Wt_oxidative_stress_2,Wt_oxidative_stress_1;Wt_oxidative_stress_2,Wt_oxidative_stress_1;Wt_oxidative_stress_2,Wt_glucose_starvation_1;Wt_glucose_starvation_2,Wt_glucose_starvation_1;Wt_glucose_starvation_2,Wt_glucose_starvation_1;Wt_glucose_starvation_2,Wt_heat_stress_1;Wt_heat_stress_2,Wt_heat_stress_1;Wt_heat_stress_2,Wt_heat_stress_1;Wt_heat_stress_2,Wt_osmotic_stress_1;Wt_osmotic_stress_2,Wt_osmotic_stress_1;Wt_osmotic_stress_2,Wt_osmotic_stress_1;Wt_osmotic_stress_2,Wt_msn24_glucose_starvation_1;Wt_msn24_glucose_starvation_2,Wt_msn24_glucose_starvation_1;Wt_msn24_glucose_starvation_2,Wt_msn24_glucose_starvation_1;Wt_msn24_glucose_starvation_2,Wt_msn24_osmotic_stress_1;Wt_msn24_osmotic_stress_2,Wt_msn24_osmotic_stress_1;Wt_msn24_osmotic_stress_2,Wt_msn24_osmotic_stress_1;Wt_msn24_osmotic_stress_2,Msn2_overexpression_1;Msn2_overexpression_2,Msn2_overexpression_1;Msn2_overexpression_2,Msn2_overexpression_1;Msn2_overexpression_2
Reporter REF,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2
CAGL0A00583g,-0.316216413,0.658200774,1.24145877,0.19349139,0.043,0.0631,null,null,null,1.304283416,0.500166951,0.306633574,null,null,null,1.149554716,null,null,-0.18098465,null,null
CAGL0A00627g,-0.646001529,0.894507891,1.391939664,3.091489076,0.654589984,1.028337389,-1.583049497,1.376691515,1.25980131,1.847624531,0.17334335,0.0841,-1.599386023,0.183935031,0.0579,0.00948,0.62685064,1.398224075,0.0703,0.439456688,0.25390697
CAGL0A00715g,null,null,null,1.94509254,0.11117177,0.168025384,null,null,null,-0.520025081,0.0762,0.0186,null,null,null,null,null,null,null,null,null
CAGL0A00737g,-0.499355756,1.122765889,0.178227699,1.187759236,0.995627584,0.496484587,-3.05187314,0.657542205,0.402323018,-1.397480704,0.989245183,0.913275985,1.047263672,0.189123755,0.123943996,-0.608590291,0.383544447,1.062161553,-0.298729272,0.121653678,0.204549919
CAGL0A00803g,null,null,null,0.298983925,0.0312,0.0512,1.404782473,0.629393165,0.395796672,0.722688332,0.230274432,0.188375885,null,null,null,1.185986883,0.354801003,0.412026921,0.209745879,null,null
CAGL0A00825g,null,null,null,-0.514069306,0.151948827,0.237302954,null,null,null,0.282358261,0.208723362,0.173736236,null,null,null,null,null,null,-0.206080618,0.229274183,0.112564264
CAGL0A00847g,null,null,null,null,null,null,null,null,null,-1.107505377,0.153050879,0.136003633,null,null,null,1.518021342,null,null,-0.399074762,0.319424424,0.254554702
CAGL0A00891g,null,null,null,-0.524226374,0.940294948,1.722383893,1.211391652,1.537611265,1.262935095,0.0256,0.154450849,0.0713,null,null,null,1.784631338,0.233872203,0.323660076,-0.529106232,0.162691012,0.14897545
CAGL0A00913g,null,null,null,0.0507,0.122478343,0.191832729,0.669155609,0.633607176,0.39046459,-0.812762171,0.0723,0.016,null,null,null,null,null,null,null,null,null
CAGL0A00935g,null,null,null,-0.118161514,0.226471663,0.346123992,null,null,null,-2.28966465,0.137327383,0.0598,null,null,null,null,null,null,-0.25335349,0.47515801,0.278141596
