FEATURE_NAME	Roetzer log2	Lelandais log2 Rep1	Lelandais log2 Rep2	Kuo log2 Rep1	Kuo log2 Rep2	Kuo log2 Rep3	Lelandais log2 Chip-Seq Rep1	Lelandais log2 Chip-Seq Rep2	Prediction
CAGL0F04917g	0.415037499	0.33599081687501803	0.323041219485199	1.7792246876216713	1.2390791793929865	0.6723582464052023	0.6578940231750073	1.3519853287435424	3
CAGL0F04939g	0.297423644	-0.0186147560894642	-0.0647916594220967	0.9208384679027768	0.7145467332102717	0.6919576221650378	0.04274964745933711	0.6740136885382843	0
CAGL0F04961g	-0.283680192	0.105768764863496	0.034170646618191004	0.12789423165316338	-0.14317510088964527	0.3906587439587537	0.7104933828050153	0.4604804700400108	1
CAGL0F04983g	1.017934385	0.581601223485751	0.16536903694342905	2.6206690740566403	3.0209614094905675	1.3301000091928998	0.16827148258979868	-1.1502426355806126	11
CAGL0F05005g	0.7724388040000001	0.37616083893219	0.051761774088124	-0.4348403876207557	-0.3597648126763012	-0.041524101186092094	0.14505033280328314	-4.7414669864011465	8
CAGL0F05027g	0.06760091027219449	-0.0339954443859949	0.260958737669233	-0.08803109451451514	0.016941833283925505	0.16177789822101446	-0.2789759497028155	0.6147098441152082	2
CAGL0F05049g	0.06760091027219449	0.25659511066101603	-0.154700542100673	-0.2677474044479215	-0.16842175441078924	0.16177789822101446	0.14505033280328314	0.5742360941280977	1
CAGL0F05071g	0.06760091027219449	-0.4770218367570821	0.362860337014303	0.759392762491251	0.49496728613821706	0.5451284003710161	-0.1195816157526726	0.6966078565500652	0
CAGL0F05093g	-0.317089823	0.18206461900860105	-0.160991052406732	0.759392762491251	0.49496728613821706	0.5451284003710161	-0.1195816157526726	0.6966078565500652	0
CAGL0F05115g	0.20085441899999998	0.4515362758192461	-0.185485239959967	1.1756303527806375	1.1101883693113563	0.2807029240179822	0.5707486415014554	1.7792313211432162	3
CAGL0F05137g	0.06760091027219449	-0.153020118543939	-0.507103542771719	2.7419194495200294	2.9159884816921267	0.6148888903636508	0.9051408136585588	0.5106151592610748	11
CAGL0F05159g	0.086026245	0.0819496473184372	-0.10971544222471799	-0.1670929831728344	-0.12091818265390004	-0.0601268985174613	0.6496681901089715	-0.2895066171949848	2
CAGL0F05181g	-0.48633446799999996	0.263680391777439	-0.49997589407655396	0.08570574484809386	-0.16742517598232298	0.12257914670134355	0.3806040022149698	0.5230347515779544	2
CAGL0F05203g	0.107734452	0.159357209815179	-0.0738974446132941	-0.4667308973316745	-0.4693884398075844	0.03720559466273833	0.11864449649861893	0.5542002469504692	1
CAGL0F05225g	0.06760091027219449	-0.0824217191470637	-0.000727593430438267	-0.09965784284662092	-0.07374680370649937	-0.07706873180138672	-0.32452520637340143	-0.30910405452977874	2
CAGL0F05247g	-0.971453633	0.36946922137383503	-0.940350269976255	2.139321693107461	2.459223368645114	0.6783377169759993	0.1887616434551679	0.5517956367859568	11
CAGL0F05269g	-0.317413375	0.128031904738279	-0.0655700818508612	0.7052453345445869	0.09899345722764327	0.12955519570060725	0.30633123983634386	-0.4764380439429872	2
CAGL0F05291r	0.06760091027219449	-0.026005668964324425	0.03620522933617206	0.6092416126023424	0.3670730544850537	-0.02325349666421159	1.807354922057604	2.114623299051775	7
CAGL0F05329g	0.06760091027219449	0.0982867078976388	-0.4515919280329029	0.6301697596001327	0.4002923354339272	0.13320931660498314	0.09225850785198864	0.19555080911780692	2
CAGL0F05335g	-0.016080522	0.0882531240977992	-0.23605673175031602	0.30495299911066004	-0.0069760489992634215	0.16742517598232298	0.1837119531723881	0.15935575973212515	2
CAGL0F05357g	-0.357881199	-0.252486654683557	0.0485964437482965	0.30495299911066004	0.31126466249094603	0.3926519008156863	0.10187961401921364	0.8479969065549501	9
CAGL0F05379g	0.6629070229999999	0.510760605464866	0.0737376623130201	0.4517822209046812	0.2368534731654689	0.1720758753151655	0.5954548745387985	-0.0485801804450616	4
CAGL0F05401g	0.50943638	0.226424012545314	0.00914321404828523	-0.3106002768719685	-0.29432282920702024	0.09434275789480108	0.8760112827245465	0.3664275550542223	1
CAGL0F05423g	-0.001028808	-0.0604144853354805	0.0143464937323718	0.43284723076382337	0.5165598187549849	0.03587682342478348	0.07943446749440491	0.2801079191927352	2
CAGL0F05445g	0.061169102	-0.309841845509836	0.0267920621185904	0.214264362120235	0.0	0.09434275789480108	0.8760112827245465	1.0255350921071376	1
CAGL0F05467g	-0.31845778	-0.22595190220150602	0.0274128192217497	0.007640434618240984	-0.09932565003713208	0.23851443721291266	0.49304001128011704	1.2030918653775118	1
CAGL0F05489g	0.06760091027219449	-0.0449030272156717	-0.127861072781844	0.14251071527066791	0.11460651927361402	0.17373683936260909	0.7306100991263828	1.4244978285279095	1
CAGL0F05511g	-0.149115484	0.3720124854854001	-0.0136697539951758	-0.08105504551525157	-0.008304820237218373	0.3082749272055473	-0.07871197601404073	-1.4563782946597434	6
CAGL0F05533g	-0.238481343	-0.256076616731797	-0.0681904746500224	-0.0219247254262566	-0.1840348164567599	0.1312161597480509	0.011587974275211826	-0.532873989572702	6
CAGL0F05555g	-0.243156414	0.10416965533658301	-0.022618463004723	-0.15214430674584126	-0.1840348164567599	0.1312161597480509	0.3890422907458993	0.5094723011368928	1
CAGL0F05577g	0.433525934	0.0784500949120366	-0.333528617919954	-0.08138723832474046	-0.14184632965169033	-0.045510414899956886	0.011587974275211826	0.12553088208385882	2
CAGL0F05599g	-0.008233141	-0.129397783858626	0.249861738646436	0.02557884633063259	-0.280702924017982	0.006643856189774814	1.0098477859563473	0.09953567355091436	2
CAGL0F05621g	0.561636794	-0.126902312863211	0.302556481756245	0.21791848302461114	0.10397634936997432	0.14051755841373534	0.9304590667469228	-0.34444553144879	2
CAGL0F05643g	0.306672353	0.211406498892552	0.0146526008385212	0.21791848302461114	0.10397634936997432	0.14051755841373534	0.812139984622981	0.4959574946624114	1
CAGL0F05665g	0.210539395	0.19910237358004998	-0.17455596900659698	0.059794705707972635	0.10862704870281686	0.12257914670134355	0.235103473086002	0.4679863792278029	2
CAGL0F05687g	0.624431563	0.26829464597112196	-0.11223277000895401	0.059794705707972635	0.10862704870281686	0.12257914670134355	0.235103473086002	0.4679863792278029	4
